GROUPE,SOUSGROUPE,ALIMENT,CALORIES,PROTEINES,GLUCIDES,LIPIDES,FRUCTOSE,SUCRES,GALACTOSE,GLUCOSE,LACTOSE,MALTOSE,SACCHAROSE,AMIDON
salades composées et crudités,entrées et plats composés,"Salade de thon et légumes, appertisée",0.0,9.15,7.74,4.7,0.82,3.08,0.0,0.78,0.0,0.3,0.97,4.1
salades composées et crudités,entrées et plats composés,"Salade composée avec viande ou poisson, appertisée",0.0,8.06,6.4,5.3,0.7,1.9,0.0,0.6,0.2,0.2,0.6,3.3
salades composées et crudités,entrées et plats composés,"Champignons à la grecque, appertisés",0.0,2.08,3.95,3.55,0.7,2.38,0.0,1.0,0.3,0.3,0.3,0.99
salades composées et crudités,entrées et plats composés,"Salade de pommes de terre, fait maison",0.0,2.68,9.9,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salades composées et crudités,entrées et plats composés,"Taboulé ou Salade de couscous, préemballé",179.0,4.88,23.7,6.7,2.0,4.9,0.2,1.5,0.2,1.4,0.2,17.7
salades composées et crudités,entrées et plats composés,"Salade de pomme de terre à la piémontaise, préemballée",130.0,4.5,8.87,8.3,0.5,1.2,0.2,0.7,0.2,0.2,0.2,6.0
salades composées et crudités,entrées et plats composés,"Salade de riz, appertisée",0.0,5.13,16.1,4.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.3
salades composées et crudités,entrées et plats composés,"Salade de pâtes, végétarienne",0.0,5.7,13.7,8.1,0.6,2.3,0.0,0.6,0.0,0.1,0.8,10.0
salades composées et crudités,entrées et plats composés,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",0.0,5.19,14.0,9.94,1.04,2.16,0.0,0.86,0.0,0.28,0.26,7.92
salades composées et crudités,entrées et plats composés,"Macédoine de légumes en salade, avec sauce, préemballée",0.0,2.81,7.0,9.3,0.3,2.3,0.0,0.3,0.3,0.3,1.5,0.0
salades composées et crudités,entrées et plats composés,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",0.0,8.13,4.88,10.0,0.6,1.71,0.0,0.51,0.2,0.6,0.2,3.17
salades composées et crudités,entrées et plats composés,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",168.0,4.06,17.4,8.3,0.99,4.61,0.1,1.9,0.1,1.72,0.1,9.9
salades composées et crudités,entrées et plats composés,"Carottes râpées, avec sauce, préemballées",0.0,0.98,6.01,5.0,0.54,5.2,0.0,0.77,0.2,0.23,3.2,0.0
salades composées et crudités,entrées et plats composés,"Salade de betterave, avec sauce, préemballée",0.0,1.29,7.45,4.94,0.46,5.3,0.0,0.5,0.051,0.1,4.29,0.0
salades composées et crudités,entrées et plats composés,"Salade de chou ou Coleslaw, avec sauce, préemballée",105.0,0.94,5.78,8.1,0.85,4.72,0.0,1.06,0.2,0.2,2.82,0.35
salades composées et crudités,entrées et plats composés,"Salade de concombre à la crème/fromage blanc, préemballée",0.0,1.1,1.97,11.3,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0
salades composées et crudités,entrées et plats composés,"Salade de lentilles et saucisse fumée, préemballée",0.0,7.0,8.9,11.8,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
salades composées et crudités,entrées et plats composés,"Salade grecque, avec sauce, préemballée",0.0,2.0,1.4,7.1,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
salades composées et crudités,entrées et plats composés,"Salade de riz à la niçoise, avec sauce, préemballée",0.0,4.45,15.8,6.08,0.5,1.35,0.0,0.48,0.0,0.3,0.38,0.0
salades composées et crudités,entrées et plats composés,"Taboulé ou Salade de couscous au poulet, préemballé",0.0,6.4,20.6,7.45,0.8,2.48,0.0,0.8,0.2,0.7,0.2,16.6
soupes,entrées et plats composés,"Soupe aux lentilles, préemballée à réchauffer",55.0,3.74,6.6,1.12,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe à la volaille et aux légumes, préemballée à réchauffer",30.8,3.09,2.6,0.8,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe aux légumes variés, préemballée à réchauffer",39.4,0.76,5.05,1.56,0.29,1.72,0.0,0.29,0.2,0.2,1.15,2.2
soupes,entrées et plats composés,"Soupe de poissons et / ou crustacés, préemballée à réchauffer",42.8,3.45,2.88,1.79,0.3,0.9,0.0,0.3,0.3,0.2,0.2,1.7
soupes,entrées et plats composés,"Soupe aux légumes variés, déshydratée reconstituée",34.5,0.86,4.43,1.22,0.2,1.07,0.0,0.2,0.2,0.2,0.7,2.6
soupes,entrées et plats composés,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",37.1,0.79,4.46,1.51,0.2,0.81,0.0,0.3,0.2,0.2,0.2,3.2
soupes,entrées et plats composés,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",30.8,1.3,3.86,1.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",4.8,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
soupes,entrées et plats composés,"Soupe à l'oignon, préemballée à réchauffer",40.4,1.35,4.93,1.4,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe aux champignons, préemballée à réchauffer",48.2,0.81,4.09,3.07,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0
soupes,entrées et plats composés,"Soupe à la carotte, préemballée à réchauffer",33.2,0.61,3.89,1.41,0.0,1.82,0.0,0.0,0.0,0.0,0.0,2.08
soupes,entrées et plats composés,"Soupe à la tomate, préemballée à réchauffer",38.7,0.74,6.27,0.99,0.9,2.95,0.0,0.8,0.2,0.2,1.2,1.8
soupes,entrées et plats composés,"Soupe chorba frik, à base de viande et de frik",62.9,3.75,5.4,2.5,0.0,0.9,0.0,0.0,0.0,0.0,0.0,3.9
soupes,entrées et plats composés,"Soupe minestrone, préemballée à réchauffer",48.8,1.2,5.6,2.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
